Books at Barracaboo,John Arthur Barry,Australia,Australia,manual/processed/books-at-barracaboo-by-john-arthur-barry-0000-0015.txt
‘Barton’s Jackaroo’,John Arthur Barry,Australia,Australia,manual/processed/bartons-jackaroo-by-john-arthur-barry-0000-0016.txt
Told in the ‘Corona’s’ Cabin,John Arthur Barry,Australia,Australia,manual/processed/told-in-the-coronas-cabin-by-john-arthur-barry-0000-0017.txt
‘Dot’s Claim’,John Arthur Barry,Australia,Australia,manual/processed/dots-claim-by-john-arthur-barry-0000-0018.txt
A Cape Horn Christmas,John Arthur Barry,Australia,Australia,manual/processed/a-cape-horn-christmas-by-john-arthur-barry-0000-0019.txt
At the Bay,Katherine Mansfield,Australia,New Zealand,manual/processed/at-the-bay-by-katherine-mansfield-0001-0000.txt
The Garden-Party,Katherine Mansfield,Australia,New Zealand,manual/processed/the-garden-party-by-katherine-mansfield-0001-0001.txt
The Daughters of the Late Colonel,Katherine Mansfield,Australia,New Zealand,manual/processed/the-daughters-of-the-late-colonel-by-katherine-mansfield-0001-0002.txt
Mr. and Mrs. Dove,Katherine Mansfield,Australia,New Zealand,manual/processed/mr-and-mrs-dove-by-katherine-mansfield-0001-0003.txt
The Young Girl,Katherine Mansfield,Australia,New Zealand,manual/processed/the-young-girl-by-katherine-mansfield-0001-0004.txt
Life of Ma Parker,Katherine Mansfield,Australia,New Zealand,manual/processed/life-of-ma-parker-by-katherine-mansfield-0001-0005.txt
Marriage à la Mode,Katherine Mansfield,Australia,New Zealand,manual/processed/marriage-a-la-mode-by-katherine-mansfield-0001-0006.txt
The Voyage,Katherine Mansfield,Australia,New Zealand,manual/processed/the-voyage-by-katherine-mansfield-0001-0007.txt
Miss Brill,Katherine Mansfield,Australia,New Zealand,manual/processed/miss-brill-by-katherine-mansfield-0001-0008.txt
Her First Ball,Katherine Mansfield,Australia,New Zealand,manual/processed/her-first-ball-by-katherine-mansfield-0001-0009.txt
The Singing Lesson,Katherine Mansfield,Australia,New Zealand,manual/processed/the-singing-lesson-by-katherine-mansfield-0001-0010.txt
The Stranger,Katherine Mansfield,Australia,New Zealand,manual/processed/the-stranger-by-katherine-mansfield-0001-0011.txt
Bank Holiday,Katherine Mansfield,Australia,New Zealand,manual/processed/bank-holiday-by-katherine-mansfield-0001-0012.txt
An Ideal Family,Katherine Mansfield,Australia,New Zealand,manual/processed/an-ideal-family-by-katherine-mansfield-0001-0013.txt
The Lady’s Maid,Katherine Mansfield,Australia,New Zealand,manual/processed/the-ladys-maid-by-katherine-mansfield-0001-0014.txt
THE GRAY CHAMPION,Nathaniel Hawthorne,United States,,manual/processed/the-gray-champion-by-nathaniel-hawthorne-0002-0000.txt
SUNDAY AT HOME,Nathaniel Hawthorne,United States,,manual/processed/sunday-at-home-by-nathaniel-hawthorne-0002-0001.txt
THE WEDDING-KNELL,Nathaniel Hawthorne,United States,,manual/processed/the-wedding-knell-by-nathaniel-hawthorne-0002-0002.txt
THE MINISTER'S BLACK VEIL,Nathaniel Hawthorne,United States,,manual/processed/the-minister-s-black-veil-by-nathaniel-hawthorne-0002-0003.txt
THE MAYPOLE OF MERRY MOUNT,Nathaniel Hawthorne,United States,,manual/processed/the-maypole-of-merry-mount-by-nathaniel-hawthorne-0002-0004.txt
THE GENTLE BOY,Nathaniel Hawthorne,United States,,manual/processed/the-gentle-boy-by-nathaniel-hawthorne-0002-0005.txt
MR. HIGGINBOTHAM'S CATASTROPHE,Nathaniel Hawthorne,United States,,manual/processed/mr-higginbotham-s-catastrophe-by-nathaniel-hawthorne-0002-0006.txt
LITTLE ANNIE'S RAMBLE,Nathaniel Hawthorne,United States,,manual/processed/little-annie-s-ramble-by-nathaniel-hawthorne-0002-0007.txt
