"The Shades, a Phantasy",Vladimir Galaktionovich Korolenko,Russia & Scandinavia,,bookshelf/processed/the-shades-a-phantasy-by-vladimir-galaktionovich-korolenko.txt
The Signal,Vsevolod Mikhailovich Garshin,Russia & Scandinavia,,bookshelf/processed/the-signal-by-vsevolod-mikhailovich-garshin.txt
The Darling,Anton Pavlovich Chekhov,Russia & Scandinavia,,bookshelf/processed/the-darling-by-anton-pavlovich-chekhov.txt
The Bet,Anton Pavlovich Chekhov,Russia & Scandinavia,,bookshelf/processed/the-bet-by-anton-pavlovich-chekhov.txt
Vanka,Anton Pavlovich Chekhov,Russia & Scandinavia,,bookshelf/processed/vanka-by-anton-pavlovich-chekhov.txt
Hide And Seek,Fyodor Sologub,Russia & Scandinavia,,bookshelf/processed/hide-and-seek-by-fyodor-sologub.txt
Dethroned,Ignatii Nicholaevich Potapenko,Russia & Scandinavia,,bookshelf/processed/dethroned-by-ignatii-nicholaevich-potapenko.txt
The Servant,S. T. (Sergei Terentyevich) Semenov,Russia & Scandinavia,,bookshelf/processed/the-servant-by-s-t-sergei-terentyevich-semenov.txt
One Autumn Night,Maksim Gorky,Russia & Scandinavia,,bookshelf/processed/one-autumn-night-by-maksim-gorky.txt
Her Lover,Maksim Gorky,Russia & Scandinavia,,bookshelf/processed/her-lover-by-maksim-gorky.txt
Lazarus,Leonid Nikolayevich Andreyev,Russia & Scandinavia,,bookshelf/processed/lazarus-by-leonid-nikolayevich-andreyev.txt
The Revolutionist,Mikhail Petrovich Artzybashev,Russia & Scandinavia,,bookshelf/processed/the-revolutionist-by-mikhail-petrovich-artzybashev.txt
Melons,Bret Harte,United States,,bookshelf/processed/melons-by-bret-harte.txt
"Deacon's Masterpiece, The; or, The Wonderful ""One-Hoss Shay""",O.W. Holmes,United States,,bookshelf/processed/deacon-s-masterpiece-the-or-the-wonderful-one-hoss-shay-by-o-w-holmes.txt
"Purple Cow, The",Gelett Burgess,United States,,bookshelf/processed/purple-cow-the-by-gelett-burgess.txt
